,0
0,5.9682183265686035
1,5.886707782745361
2,5.843058109283447
3,5.84829044342041
4,5.894601345062256
5,5.7682318687438965
6,5.708953857421875
7,5.670481204986572
8,5.660858154296875
9,5.5030927658081055
10,5.338262557983398
11,5.286511421203613
12,4.974501609802246
13,4.8285651206970215
14,5.042688369750977
15,5.165727615356445
16,4.890279293060303
17,4.579497814178467
18,4.943521976470947
19,5.000374794006348
20,4.52512788772583
21,4.475595951080322
22,4.955757141113281
23,4.4217071533203125
24,4.66501522064209
25,4.593131065368652
26,3.8543713092803955
27,3.985727310180664
28,3.8610410690307617
29,3.9660844802856445
30,4.738095283508301
31,3.148635149002075
32,3.397351026535034
33,3.8682069778442383
34,3.647822380065918
35,4.214812278747559
36,4.050416946411133
37,4.118056774139404
38,3.4618866443634033
39,3.874664306640625
40,3.7817978858947754
41,4.142965316772461
42,4.303369522094727
43,4.233221054077148
44,3.583691358566284
45,4.021005630493164
46,4.007889270782471
47,4.318957328796387
48,3.875236988067627
49,4.425565719604492
50,3.9144039154052734
51,3.864577293395996
52,3.395829200744629
53,3.1791481971740723
54,4.023372650146484
55,4.258605480194092
56,3.9233157634735107
57,3.8614768981933594
58,3.9569625854492188
59,2.783536672592163
60,2.9798381328582764
61,3.512742519378662
62,3.4686429500579834
63,3.375113010406494
64,3.2878384590148926
65,3.4295125007629395
66,3.3097035884857178
67,3.1489357948303223
68,3.0177316665649414
69,2.9933745861053467
70,3.1004340648651123
71,3.269693374633789
72,3.293783664703369
73,3.645233154296875
74,3.2959578037261963
75,2.835681438446045
76,3.3509464263916016
77,3.334846258163452
78,3.1377620697021484
79,3.0183334350585938
80,2.384833812713623
81,3.168328285217285
82,3.156813383102417
83,3.344848871231079
84,2.529122829437256
85,3.3372840881347656
86,3.3548223972320557
87,2.5979628562927246
88,3.1486575603485107
89,3.028181314468384
90,2.4942617416381836
91,3.2670955657958984
92,2.6538476943969727
93,3.4268388748168945
94,3.5354673862457275
95,2.942765712738037
96,2.5777039527893066
97,2.3419675827026367
98,2.4816110134124756
99,2.262002944946289
100,2.1752824783325195
